shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
VNYiS,33.951450,-118.396419,149,
VNYiS,33.951010,-118.396403,150,
VNYiS,33.950298,-118.39647,151,
VNYiS,33.949999,-118.396595,152,
VNYiS,33.949647,-118.3969,153,
VNYiS,33.949391,-118.397334,154,
VNYiS,33.949089,-118.398326,155,
VNYiS,33.948934,-118.399048,156,
VNYiS,33.948761,-118.399359,157,
VNYiS,33.948523,-118.39954,158,
VNYiS,33.948300,-118.399625,159,
VNYiS,33.947645,-118.399668,160,
VNYiS,33.945804,-118.399658,161,
VNYiS,33.945456,-118.399514,162,
VNYiS,33.945610,-118.40068,163,
VNYiS,33.945176,-118.403982,164,
VNYiS,33.944842,-118.407115,165,
VNYiS,33.944775,-118.40767,166,
VNYiS,33.944753,-118.407923,167,
VNYiS,33.944608,-118.408175,168,
VNYiS,33.944268,-118.408279,169,
VNYiS,33.943987,-118.408226,170,
VNYiS,33.942939,-118.40807,171,
VNYiS,33.942695,-118.408022,172,
VNYiS,33.942450,-118.407756,173,
VNYiS,33.942437,-118.407394,174,
VNYiS,33.942465,-118.407061,175,
VNYiS,33.942684,-118.404658,176,
VNYiS,33.942962,-118.402125,177,
VNYiS,33.943258,-118.399336,178,

USToS,33.945257,-118.401559,1,
USToS,33.945040,-118.404084,2,
USToS,33.944775,-118.406889,3,
USToS,33.944744,-118.407706,4,
USToS,33.944697,-118.407958,5,
USToS,33.944562,-118.408121,6,
USToS,33.944223,-118.408172,7,
USToS,33.943789,-118.408027,8,
USToS,33.942921,-118.407973,9,
USToS,33.942691,-118.407895,10,
USToS,33.942548,-118.407691,11,
USToS,33.942562,-118.407414,12,
USToS,33.942702,-118.406398,13,
USToS,33.942892,-118.404025,14,
USToS,33.943197,-118.401469,15,
USToS,33.943470,-118.398679,16,
USToS,33.943916,-118.397527,17,
USToS,33.943904,-118.397494,18,
USToS,33.943903,-118.397267,19,
USToS,33.941941,-118.396421,20,
USToS,33.933571,-118.396351,21,
USToS,33.932411,-118.397921,22,
USToS,33.932037,-118.397923,23,
USToS,33.931903,-118.397966,24,
USToS,33.931563,-118.397847,25,
USToS,33.931438,-118.397689,26,
USToS,33.931389,-118.397164,27,
USToS,33.931431,-118.395888,28,
USToS,33.931435,-118.395246,29,
USToS,33.931419,-118.394225,30,
USToS,33.931389,-118.391493,31,
USToS,33.931101,-118.386427,32,
USToS,33.931203,-118.382505,33,
USToS,33.931190,-118.381652,34,
USToS,33.931125,-118.38081,35,
USToS,33.931030,-118.380105,36,
USToS,33.930805,-118.379096,37,
USToS,33.930207,-118.376538,38,
USToS,33.930021,-118.375233,39,
USToS,33.929978,-118.373932,40,
USToS,33.930011,-118.372985,41,
USToS,33.930028,-118.37026,42,
USToS,33.930011,-118.369143,43,
USToS,33.930089,-118.367985,44,
USToS,33.930532,-118.366128,45,
USToS,33.930869,-118.364989,46,
USToS,33.932197,-118.360389,47,
USToS,33.932120,-118.360412,48,
USToS,33.932804,-118.358262,49,
USToS,33.933480,-118.354749,50,
USToS,33.933485,-118.353227,51,
USToS,33.933264,-118.351525,52,
USToS,33.932902,-118.350017,53,
USToS,33.932501,-118.348802,54,
USToS,33.931527,-118.346605,55,
USToS,33.930122,-118.344252,56,
USToS,33.927010,-118.339877,57,
USToS,33.926286,-118.338774,58,
USToS,33.925671,-118.337511,59,
USToS,33.925245,-118.336223,60,
USToS,33.924955,-118.334871,61,
USToS,33.924815,-118.333402,62,
USToS,33.924820,-118.332452,63,
USToS,33.924892,-118.330971,64,
USToS,33.925310,-118.323378,65,
USToS,33.925378,-118.322105,66,
USToS,33.925398,-118.320284,67,
USToS,33.925381,-118.31856,68,
USToS,33.925347,-118.314671,69,
USToS,33.925287,-118.31249,70,
USToS,33.925403,-118.31009,71,
USToS,33.925630,-118.308086,72,
USToS,33.926349,-118.304341,73,
USToS,33.926573,-118.30327,74,
USToS,33.928208,-118.296699,75,
USToS,33.928401,-118.295474,76,
USToS,33.928523,-118.294398,77,
USToS,33.928587,-118.293006,78,
USToS,33.928583,-118.29117,79,
USToS,33.928582,-118.290119,80,
USToS,33.928615,-118.288804,81,
USToS,33.928644,-118.283726,82,
USToS,33.928736,-118.282942,83,
USToS,33.928990,-118.282169,84,
USToS,33.929363,-118.281511,85,
USToS,33.929896,-118.280915,86,
USToS,33.930420,-118.280572,87,
USToS,33.930947,-118.28037,88,
USToS,33.931747,-118.280232,89,
USToS,33.932378,-118.280146,90,
USToS,33.934466,-118.280021,91,
USToS,33.936009,-118.27991,92,
USToS,33.937243,-118.279835,93,
USToS,33.938816,-118.279767,94,
USToS,33.943222,-118.279782,95,
USToS,33.944387,-118.279738,96,
USToS,33.946360,-118.279448,97,
USToS,33.947652,-118.279337,98,
USToS,33.948288,-118.279369,99,
USToS,33.948842,-118.279523,100,
USToS,33.949695,-118.279708,101,
USToS,33.953728,-118.280535,102,
USToS,33.955340,-118.280746,103,
USToS,33.956012,-118.280768,104,
USToS,33.960087,-118.280767,105,
USToS,33.961240,-118.28079,106,
USToS,33.963204,-118.280783,107,
USToS,33.965711,-118.280772,108,
USToS,33.977916,-118.280783,109,
USToS,33.980385,-118.280801,110,
USToS,33.981650,-118.280702,111,
USToS,33.983957,-118.280466,112,
USToS,33.986904,-118.280405,113,
USToS,33.989601,-118.280398,114,
USToS,33.991480,-118.280426,115,
USToS,33.993328,-118.2804,116,
USToS,33.995067,-118.280399,117,
USToS,33.996262,-118.280462,118,
USToS,33.997510,-118.280588,119,
USToS,33.998682,-118.28067,120,
USToS,34.000488,-118.280843,121,
USToS,34.001306,-118.280921,122,
USToS,34.003405,-118.281004,123,
USToS,34.005461,-118.28096,124,
USToS,34.010510,-118.28095,125,
USToS,34.012393,-118.280828,126,
USToS,34.013600,-118.280756,127,
USToS,34.014165,-118.280744,128,
USToS,34.014682,-118.28071,129,
USToS,34.015264,-118.280632,130,
USToS,34.015842,-118.2805,131,
USToS,34.016753,-118.280238,132,
USToS,34.017761,-118.279865,133,
USToS,34.018412,-118.279544,134,
USToS,34.019531,-118.2789,135,
USToS,34.021333,-118.27775,136,
USToS,34.021955,-118.27737,137,
USToS,34.022503,-118.277083,138,
USToS,34.023373,-118.276633,139,
USToS,34.024632,-118.276042,140,
USToS,34.026278,-118.275013,141,
USToS,34.026810,-118.274736,142,
USToS,34.027288,-118.274552,143,
USToS,34.028022,-118.274353,144,
USToS,34.028741,-118.274274,145,
USToS,34.029369,-118.274301,146,
USToS,34.030440,-118.274339,147,
USToS,34.032250,-118.274493,148,
USToS,34.033894,-118.274492,149,
USToS,34.034696,-118.274406,150,
USToS,34.039158,-118.273789,151,
USToS,34.040523,-118.27359,152,
USToS,34.041301,-118.273417,153,
USToS,34.041997,-118.27318,154,
USToS,34.042658,-118.272876,155,
USToS,34.043271,-118.272515,156,
USToS,34.043832,-118.272074,157,
USToS,34.044356,-118.271631,158,
USToS,34.044887,-118.271133,159,
USToS,34.045268,-118.270652,160,
USToS,34.045658,-118.27013,161,
USToS,34.046050,-118.269509,162,
USToS,34.049274,-118.264236,163,
USToS,34.050612,-118.261942,164,
USToS,34.052057,-118.259605,165,
USToS,34.053232,-118.25844,166,
USToS,34.054078,-118.257721,167,
USToS,34.055139,-118.25669,168,
USToS,34.057101,-118.25481,169,
USToS,34.058028,-118.253864,170,
USToS,34.059420,-118.252358,171,
USToS,34.060082,-118.251527,172,
USToS,34.060801,-118.250504,173,
USToS,34.061174,-118.249961,174,
USToS,34.061350,-118.24963,175,
USToS,34.061437,-118.249306,176,
USToS,34.061436,-118.248987,177,
USToS,34.061350,-118.248687,178,
USToS,34.061202,-118.248425,179,
USToS,34.060962,-118.248144,180,
USToS,34.060083,-118.24723,181,
USToS,34.059762,-118.24684,182,
USToS,34.059535,-118.246452,183,
USToS,34.059340,-118.246094,184,
USToS,34.058811,-118.245363,185,
USToS,34.057626,-118.243759,186,
USToS,34.055800,-118.240806,187,
USToS,34.055302,-118.239997,188,
USToS,34.053934,-118.237734,189,
USToS,34.053561,-118.235518,190,
USToS,34.053498,-118.234535,191,
USToS,34.053458,-118.234287,192,
USToS,34.053362,-118.234144,193,
USToS,34.053265,-118.234072,194,
USToS,34.053165,-118.234064,195,
USToS,34.052966,-118.233961,196,
USToS,34.052864,-118.233179,197,
USToS,34.052651,-118.231544,198,
USToS,34.052678,-118.231427,199,
USToS,34.052769,-118.231385,200,
USToS,34.053104,-118.231397,201,
USToS,34.053964,-118.231246,202,
USToS,34.054245,-118.231223,203,
USToS,34.054476,-118.231311,204,
USToS,34.054626,-118.231467,205,
USToS,34.055008,-118.231959,206,
USToS,34.055061,-118.232073,207,
USToS,34.055201,-118.232396,208,
USToS,34.055322,-118.232964,209,
USToS,34.055229,-118.233062,210,
USToS,34.054773,-118.233151,211,

USTiS,34.054773,-118.233151,1,
USTiS,34.054773,-118.233151,2,
USTiS,34.054656,-118.233186,3,
USTiS,34.054682,-118.233417,4,
USTiS,34.055927,-118.233137,5,
USTiS,34.055944,-118.233018,6,
USTiS,34.055809,-118.232916,7,
USTiS,34.055272,-118.233014,8,
USTiS,34.055131,-118.232858,9,
USTiS,34.055068,-118.232469,10,
USTiS,34.054972,-118.232369,11,
USTiS,34.054755,-118.232398,12,
USTiS,34.054184,-118.232465,13,
USTiS,34.053942,-118.232528,14,
USTiS,34.053847,-118.232653,15,
USTiS,34.053818,-118.232807,16,
USTiS,34.053911,-118.233977,17,
USTiS,34.054002,-118.234875,18,
USTiS,34.053964,-118.235618,19,
USTiS,34.053917,-118.236139,20,
USTiS,34.053935,-118.236705,21,
USTiS,34.054053,-118.237258,22,
USTiS,34.054406,-118.238087,23,
USTiS,34.056073,-118.240765,24,
USTiS,34.057991,-118.243791,25,
USTiS,34.058945,-118.245013,26,
USTiS,34.059729,-118.245836,27,
USTiS,34.061367,-118.247191,28,
USTiS,34.062390,-118.248171,29,
USTiS,34.062523,-118.248359,30,
USTiS,34.062654,-118.248761,31,
USTiS,34.062636,-118.249004,32,
USTiS,34.062569,-118.249341,33,
USTiS,34.062395,-118.249636,34,
USTiS,34.061853,-118.25012,35,
USTiS,34.061261,-118.25067,36,
USTiS,34.059395,-118.252886,37,
USTiS,34.058394,-118.254028,38,
USTiS,34.058312,-118.253935,39,
USTiS,34.055582,-118.256569,40,
USTiS,34.051563,-118.260684,41,
USTiS,34.049751,-118.26382,42,
USTiS,34.046126,-118.269776,43,
USTiS,34.045656,-118.270483,44,
USTiS,34.045104,-118.271155,45,
USTiS,34.044427,-118.271865,46,
USTiS,34.043510,-118.272556,47,
USTiS,34.042428,-118.273183,48,
USTiS,34.041379,-118.273621,49,
USTiS,34.043116,-118.272772,50,
USTiS,34.042350,-118.273187,51,
USTiS,34.041601,-118.273476,52,
USTiS,34.040868,-118.273668,53,
USTiS,34.039847,-118.273826,54,
USTiS,34.034935,-118.274543,55,
USTiS,34.033845,-118.274665,56,
USTiS,34.033217,-118.274681,57,
USTiS,34.031208,-118.274561,58,
USTiS,34.029287,-118.274425,59,
USTiS,34.028573,-118.274427,60,
USTiS,34.027803,-118.274514,61,
USTiS,34.027009,-118.274797,62,
USTiS,34.026296,-118.275182,63,
USTiS,34.023057,-118.277274,64,
USTiS,34.021613,-118.278016,65,
USTiS,34.020395,-118.278768,66,
USTiS,34.018997,-118.279692,67,
USTiS,34.017977,-118.280261,68,
USTiS,34.016201,-118.280854,69,
USTiS,34.015194,-118.281084,70,
USTiS,34.014413,-118.281161,71,
USTiS,34.013862,-118.281145,72,
USTiS,34.012662,-118.281204,73,
USTiS,34.012028,-118.281208,74,
USTiS,34.010527,-118.28113,75,
USTiS,34.009766,-118.281079,76,
USTiS,34.005728,-118.28105,77,
USTiS,34.004834,-118.281066,78,
USTiS,34.002431,-118.281068,79,
USTiS,34.000986,-118.28097,80,
USTiS,33.999888,-118.280871,81,
USTiS,33.996192,-118.280551,82,
USTiS,33.994904,-118.280477,83,
USTiS,33.993695,-118.280473,84,
USTiS,33.993206,-118.2805,85,
USTiS,33.990900,-118.280637,86,
USTiS,33.990407,-118.280661,87,
USTiS,33.987827,-118.280669,88,
USTiS,33.985345,-118.280628,89,
USTiS,33.984493,-118.2806,90,
USTiS,33.983693,-118.280616,91,
USTiS,33.981201,-118.280869,92,
USTiS,33.980364,-118.280922,93,
USTiS,33.979728,-118.280924,94,
USTiS,33.978177,-118.28091,95,
USTiS,33.975479,-118.280898,96,
USTiS,33.970258,-118.28089,97,
USTiS,33.969956,-118.280899,98,
USTiS,33.965638,-118.280919,99,
USTiS,33.963206,-118.28096,100,
USTiS,33.960894,-118.280989,101,
USTiS,33.956488,-118.280922,102,
USTiS,33.956052,-118.280946,103,
USTiS,33.955054,-118.280881,104,
USTiS,33.953724,-118.280632,105,
USTiS,33.952686,-118.280442,106,
USTiS,33.951936,-118.280296,107,
USTiS,33.948895,-118.279651,108,
USTiS,33.947950,-118.279542,109,
USTiS,33.947044,-118.27957,110,
USTiS,33.945853,-118.279692,111,
USTiS,33.944388,-118.279938,112,
USTiS,33.943836,-118.279989,113,
USTiS,33.942425,-118.279983,114,
USTiS,33.940791,-118.279977,115,
USTiS,33.938579,-118.279957,116,
USTiS,33.937442,-118.279986,117,
USTiS,33.936021,-118.280081,118,
USTiS,33.935739,-118.280093,119,
USTiS,33.933799,-118.280179,120,
USTiS,33.932254,-118.280286,121,
USTiS,33.931480,-118.280374,122,
USTiS,33.930849,-118.280498,123,
USTiS,33.930325,-118.280724,124,
USTiS,33.929841,-118.281074,125,
USTiS,33.929464,-118.281515,126,
USTiS,33.928844,-118.282947,127,
USTiS,33.928779,-118.283417,128,
USTiS,33.928774,-118.286574,129,
